text,raw_text,source,genre,movie_title,movie_year,tmdb_id,imdb_id,rating,votes,author,comment_id,replies,time,is_reply,is_hearted,trailer_id,sentiment,intensity,topic,contains_spoiler
"I personally have always preferred MI over 007, not by a lot but still preferred nonetheless...","I personally have always preferred MI over 007, not by a lot but still preferred nonetheless...",youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,0,@johncook9392,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9pqDvgkEWAa,0,2 years ago,True,False,avz06PDqDbM,neutral,3,general,False
yeah bro. the best movie of 2022,"yeah bro.
the best movie of 2022",youtube,action,Top Gun: Maverick,2022,361743,tt1745960,,0,@PursuitofHappyness5717,UgyER-UGCXcyurHv-1Z4AaABAg.9bc86DnmPAK9c7rqOSWaPn,0,3 years ago,True,False,giXco2jaZ_4,positive,5,general,False
@YourFunkiness Fury Road wasn’t rushed, @YourFunkiness  Fury Road wasn’t rushed,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,1,@DaMasterHawk,Ugz5ThR26X5V65b0XlN4AaABAg.9xl-4Akgk4-9xnfhT1lLp2,0,2 years ago (edited),True,False,XJMuhwVlca4,neutral,3,off_topic,False
2 was the best most iconic blockbuster ever,2 was the best most iconic blockbuster ever,youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,1,@yoced1468,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9q-1HoS_7M6,0,2 years ago,True,False,avz06PDqDbM,positive,4,general,False
"@Juggernaut-ue7xw Yahh and more importantly his mastery and authenticity of the martial arts so we can enjoy something close to realism, long full view fighting scenes, instead of the mundane "" death by a thousand cuts"" editing * cough ( Matt Damon's Bourne) cough* cough"," @Juggernaut-ue7xw  Yahh and more importantly his mastery and  authenticity of the martial arts so we can enjoy something close to realism, long full view fighting scenes, instead of the mundane "" death by a thousand cuts""  editing  * cough ( Matt Damon's Bourne) cough* cough",youtube,action,John Wick: Chapter 4,2023,603692,tt10366206,,1,@datbtrue,UgyeTRteQF9WR2Wtkhd4AaABAg.9iGGhLjUkJm9iGzPW1skwc,0,3 years ago,True,False,qEVUtrk8_B4,positive,5,acting,False
I had the feeling,I had the feeling,youtube,action,John Wick: Chapter 4,2023,603692,tt10366206,,0,@Liso_Wata,UgyeTRteQF9WR2Wtkhd4AaABAg.9iGGhLjUkJm9iHLrWzxyV2,0,3 years ago,True,False,qEVUtrk8_B4,neutral,2,off_topic,False
The Respect that Tom Cruise has for his audience is amazing.. his movies are always meant for theatrical experience ...never lets down.. Keep going ..Tom!,The Respect that Tom Cruise has for his audience is amazing.. his movies are always meant for theatrical experience ...never lets down.. Keep going ..Tom!,youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,2700,@pavanhr1,Ugx9cJp37k6L3J9hgRt4AaABAg,16,2 years ago,False,False,avz06PDqDbM,positive,5,general,False
Deadpool Furiosa cameo was AMAZING,Deadpool Furiosa cameo was AMAZING 😁😁😁,youtube,action,Mad Max: Furiosa,2024,786892,tt12037194,,7,@remixl6020,UgydHlrw9JLoYEaTB-94AaABAg,0,1 year ago,False,False,XJMuhwVlca4,positive,5,general,False
"And I was working for CW Productions on the Paramount Lot for #3. Preproduction meetings and celebs coming in for ""interviews"" for specific parts (at that level you don't really audition). Great times! Funny thing is, I never saw MI 1 & 2, before working there. Haven't missed one since...","And I was working for CW Productions on the Paramount Lot for #3. Preproduction meetings and celebs coming in for ""interviews"" for specific parts (at that level you don't really audition). Great times! Funny thing is, I never saw MI 1 & 2, before working there. Haven't missed one since...",youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,1,@leaveittobaker,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9q-4IRB049z,0,2 years ago,True,False,avz06PDqDbM,neutral,3,off_topic,False
that’s me lol i just saw it yesterday. so good!!!,that’s me lol i just saw it yesterday. so good!!!,youtube,action,Top Gun: Maverick,2022,361743,tt1745960,,12,@timotheespeach5545,UgyER-UGCXcyurHv-1Z4AaABAg.9bc86DnmPAK9bnh5ewl0Aj,0,3 years ago,True,False,giXco2jaZ_4,positive,5,general,False
Mission Impossible is one of the best franchises!,Mission Impossible is one of the best franchises!,youtube,action,Mission: Impossible - Dead Reckoning,2023,575264,tt9603212,,4,@TheLegendaryMovieCritic,Ugydxz4eSIdOqPEu04t4AaABAg.9poqrRBpTot9pp34AwVZpG,0,2 years ago,True,False,avz06PDqDbM,positive,5,general,False
